backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:54:06 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:54:40 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ???????  SessionGuardian: Checking 1 unblocked students...
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:55:13 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:55:46 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ???????  SessionGuardian: Checking 1 unblocked students...
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:56:20 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:56:53 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ???????  SessionGuardian: Checking 1 unblocked students...
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:57:27 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:58:00 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ???????  SessionGuardian: Checking 1 unblocked students...
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:58:33 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:59:07 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ???????  SessionGuardian: Checking 1 unblocked students...
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:59:40 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:09:00:13 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ???????  SessionGuardian: Checking 1 unblocked students...
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:09:00:47 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-2  | ::ffff:127.0.0.1 - - [01/Apr/2026:08:59:07 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
backend-1  | ::ffff:172.18.0.8 - - [01/Apr/2026:09:01:16 +0000] "POST /api/auth/login HTTP/1.1" 401 40 "http://localhost:100/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
backend-1  | ::ffff:127.0.0.1 - - [01/Apr/2026:09:01:20 +0000] "GET /health HTTP/1.1" 200 133 "-" "curl/7.88.1"
